id,false_sent,connector,explanation0,explanation1,explanation2,label
832,He went to the restaurant to run with his dog., This is false because ,Dogs can usually run faster than humans inside restaurants,Restaurants serve some foods that dogs can't eat but runners can,You can't practice running inside restaurants.,2
833,The Moon tells the time in the day time., This is false because ,The moon only appears at nighttime.,The moon becomes the nighttime sun and can determine the time at night.,The sun is a good source of a time teller when you do not have a clock on hand.,0
834,I am running in a plastic chair, This is false because ,You cannot run in a plastic chair. you can only sit or stand on it.,Wooden chairs are stronger than plastic chairs,You cannot eat a plastic chair,0
835,The paint on the wall is floating., This is false because ,Paint looks cool when it drips.,Paint can not float unless your in space.,Dripping paint can be a soothinng observation.,1
836,The dog flew inside the house, This is false because ,dogs never ever have wings or feathers,dogs usually walk inside of a house instead of flying.,a dog cannot fly,2
837,food eat people because of hunger, This is false because ,hunger and food are highly related,people love to eat food,food don't eat which is always eaten,2
838,During summer people set bonfire at home, This is false because ,Watching bonfire makes you relax,Bonfire is usually set from firewood,usually bonfire is useful only at winter,2
839,Pablo goes to the dance to meet a bird, This is false because ,Dances can be a fun lesson to teach your bird to do,Pablo owns a pet bird that is taking dancing lessons,You do not meet birds at dances,2
840,Skyscrapers are pink., This is false because ,Skyscrapers can be many different colours.,Skyscrapers sometimes have spires.,Skyscrapers are often built with concrete and glass.,0
841,Men are called females, This is false because ,females are opposite gender of men,Transgender are basically males,Transgender behave like female,0
842,A keyboard has got only a key, This is false because ,"A key can open a door, but a keyboard cannot",A keyboard is bigger than a single key,"As it name suggests, a keyboard must have distinct keys for several uses its one",2
843,Santa clause is where the easter bunny appears., This is false because ,Easter is time of eggs and candy.,Santa clause is only during christmas time.,Easter bunny is a fun costume for halloween.,1
844,she won gold medal for finishing last in marathon, This is false because ,medals are given those who participate in marathon,people finish last in marathon wont earn any medals,there is only one first position in marathon,1
845,He used his torch to think possible accidents, This is false because ,torch is used to see things in dark,torch help from possible accidents in night,torch is easy to carry,0
846,A sandwich is put in a toolbox, This is false because ,A sandwich is smaller than a toolbox,"A sandwich is food so if you put it in a toolbox, it will smell bad",A screwdriver and a sandwich share the first letter,1
847,People watched fish walking in the zoo, This is false because ,Fish is too small to walk,Fish is too lazy to walk,Fish does not have legs and cannot walk,2
848,He ate a whole ostrich., This is false because ,Ostriches have dangerously sharp claws.,Their legs are long.,"Nobody could eat a whole bird, and no one eats ostrich.",2
849,pour kerosene in the tea cup, This is false because ,tea cup used to drink tea,kerosene is not used for drinking,kerosene is used for burning,2
850,"Monkeys are smoking,", This is false because ,Monkeys do not smoke.,In a tv show Berry smoking with his pet monkey.,Monkeys can learn human sign launguage like pretend smoking.,0
851,He put the ice cream away in the cabinet., This is false because ,Ice cream is wet but cabinets hold dry goods.,Ice cream is a dairy product.,Ice cream needs to be kept frozen.,2
852,I bought Stocks at the Farmers market., This is false because ,Stocks are not tangible while groceries are tangible.,Stocks cannot be used for cooking.,Stocks are not sold at the farmers market.,2
853,You need an oven to pay bills, This is false because ,An oven and money are physical objects,An oven is bigger than money or bills,An oven is not used for paying bills,2
854,President is a common job for people to have., This is false because ,There are not that many Presidents out there.,The leader of the United States is the President.,President is a job which is difficult to get.,0
855,she went to church for her delivery, This is false because ,usually people go to church for prayers,people always pray to god during delivery,people thinks that baby are gift from god,0
856,Julie's birthday in on the 30th of February., This is false because ,There are 29 days in February in a leap year and 28 days every other year.,February is the shortest month of the year compared to other.months.,February is the only month with less than 30 days.,0
